### The input file for the different 
### electron selection working points
# p eff see     dphi     deta   hoe     tkIso   ecalIso hcalIso combIso hits dist   cot
  B 95  0.01    0.8      0.007  0.50    0.15    2.00    0.12    0.15    1   0.00    0.00
  B 90  0.01    0.8      0.007  0.12    0.12    0.09    0.10    0.10    1   0.02    0.02
  B 85  0.01    0.06     0.006  0.04    0.09    0.08    0.10    0.09    1   0.02    0.02
  B 80  0.01    0.06     0.004  0.04    0.09    0.07    0.10    0.07    0   0.02    0.02
  B 70  0.01    0.03     0.003  0.025   0.06    0.06    0.05    0.05    0   0.02    0.02
  B 60  0.01    0.02     0.0025 0.025   0.05    0.05    0.02    0.04    0   0.02    0.02

  E 95  0.03    0.7      0.01   0.07    0.08    0.06    0.05    0.10    1   0.00    0.00
  E 90  0.03    0.7      0.009  0.05    0.05    0.06    0.03    0.07    1   0.02    0.02
  E 85  0.03    0.04     0.007  0.025   0.05    0.05    0.025   0.06    1   0.02    0.02
  E 80  0.03    0.03     0.007  0.025   0.04    0.05    0.025   0.06    0   0.02    0.02
  E 70  0.03    0.02     0.005  0.012   0.03    0.03    0.015   0.04    0   0.02    0.02
  E 60  0.03    0.02     0.005  0.009   0.02    0.03    0.009   0.03    0   0.02    0.02

